import_date,code,title,url,price_gbp,availability,units_sold
2024-04-24,HED46109,Springbank 25 Year Old Bottled 2006,https://hedonism.co.uk/product/springbank-25-year-old-bottled-2006-whisky,2995.0,1.0,1.0
2024-04-24,HED32405,Ardbeg 25 Year Old,https://hedonism.co.uk/product/ardbeg-25-year-old-whisky,990.0,8.0,1.0
2024-04-24,HED46185,Springbank 21 Year Old 2022 Release,https://hedonism.co.uk/product/springbank-21-year-old-2022-release-whisky,795.0,3.0,1.0
2024-04-24,HED46919,Longrow 21 Year Old 2023 Release,https://hedonism.co.uk/product/longrow-21-year-old-2023-release-whisky,495.0,2.0,1.0
2024-04-24,HED21294,Ledaig 18 Year Old First Murderer Macbeth Collection,https://hedonism.co.uk/product/ledaig-18-year-old-first-murderer-macbeth-collection-whisky,225.0,3.0,1.0
2024-04-24,HED21593,Kavalan Solist Vinho Barrique 571,https://hedonism.co.uk/product/kavalan-solist-vinho-barrique-571-whisky,215.0,7.0,1.0
2024-04-24,HED6043,Johnnie Walker Blue Label,https://hedonism.co.uk/product/johnnie-walker-blue-label-whisky,174.0,286.0,1.0
2024-04-24,HED3161,Yamazaki 12 Year Old,https://hedonism.co.uk/product/yamazaki-12-year-old-whisky,145.0,36.0,1.0
2024-04-24,HED40140,Macallan 15 Year Old Double Cask,https://hedonism.co.uk/product/macallan-15-year-old-double-cask-whisky,145.0,18.0,1.0
2024-04-24,HED64374,Bunnahabhain 18 Year Old,https://hedonism.co.uk/product/bunnahabhain-18-year-old-whisky,141.0,31.0,1.0
2024-04-24,HED21490,Edradour 12 Year Old Straight Cask Burgundy Finish 2002,https://hedonism.co.uk/product/edradour-12-year-old-straight-cask-burgundy-finish-2002-whisky,130.0,2.0,1.0
2024-04-24,HED08636,Tomatin 18 Year Old,https://hedonism.co.uk/product/tomatin-18-year-old-whisky,119.0,17.0,4.0
2024-04-24,HED51227,Mortlach 16 Year Old,https://hedonism.co.uk/product/mortlach-16-year-old-whisky,105.0,13.0,4.0
2024-04-24,HED54764,Tamdhu 15 Year Old,https://hedonism.co.uk/product/tamdhu-15-year-old-whisky,86.7,2.0,4.0
2024-04-24,HED7560,Kavalan King Car Conductor,https://hedonism.co.uk/product/kavalan-king-car-conductor-whisky,86.5,3.0,1.0
2024-04-24,HED2976,Macallan 12 Year Old Sherry Oak,https://hedonism.co.uk/product/macallan-12-year-old-sherry-oak-whisky,86.0,63.0,2.0
2024-04-24,HED70117,Hibiki Japanese Harmony,https://hedonism.co.uk/product/hibiki-japanese-harmony-whisky,81.2,75.0,1.0
2024-04-24,HED45873,Balvenie 14 Year Old Week Peat,https://hedonism.co.uk/product/balvenie-14-year-old-week-peat-whisky,78.7,13.0,1.0
2024-04-24,HED51274,Glendronach 15 Year Old Revival,https://hedonism.co.uk/product/glendronach-15-year-old-revival-whisky,78.5,38.0,1.0
2024-04-24,HED86377,Compass Box Hedonism,https://hedonism.co.uk/product/compass-box-hedonism-whisky,77.0,8.0,1.0
2024-04-24,HED6046,Oban 14 Year Old,https://hedonism.co.uk/product/oban-14-year-old-whisky,75.0,3.0,1.0
2024-04-24,HED68050,Bladnoch Samsara,https://hedonism.co.uk/product/bladnoch-samsara-whisky,75.0,2.0,1.0
2024-04-24,HED79982,Deanston Pinot Noir Finish 2002,https://hedonism.co.uk/product/deanston-pinot-noir-finish-2002-whisky,75.0,3.0,1.0
2024-04-24,HED6052,Lagavulin 16 Year Old,https://hedonism.co.uk/product/lagavulin-16-year-old-whisky,74.8,27.0,2.0
2024-04-24,HED87190,Hakushu Distillers Reserve,https://hedonism.co.uk/product/hakushu-distillers-reserve-whisky,69.9,62.0,1.0
2024-04-24,HED46670,Benrinnes 11 Year Old Adelphi Exclusive Hedonism Wines 2011,https://hedonism.co.uk/product/benrinnes-11-year-old-adelphi-exclusive-hedonism-wines-2011-whisky,69.9,9.0,2.0
2024-04-24,HED21179,Glenturret 10 Year Old Peat Smoked 2023 Release,https://hedonism.co.uk/product/glenturret-10-year-old-peat-smoked-2023-release-whisky,67.0,6.0,1.0
2024-04-24,HED46443,GlenAllachie 10 Year Old Cask Strength Batch Eight,https://hedonism.co.uk/product/glenallachie-10-year-old-cask-strength-batch-eight-whisky,64.9,25.0,1.0
2024-04-24,HED21250,Fuji Single Grain,https://hedonism.co.uk/product/fuji-single-grain-whisky,62.9,3.0,1.0
2024-04-24,HED79376,Arran Bodega Sherry Cask,https://hedonism.co.uk/product/arran-bodega-sherry-cask-whisky,61.0,5.0,2.0
2024-04-24,HED6049,Talisker 10 Year Old,https://hedonism.co.uk/product/talisker-10-year-old-whisky,45.0,16.0,1.0
2024-04-24,HED3114,Glenfiddich 12 Year Old,https://hedonism.co.uk/product/glenfiddich-12-year-old-whisky,41.0,26.0,1.0
2024-04-24,HED73273,Wolfburn Single Malt,https://hedonism.co.uk/product/wolfburn-single-malt-whisky,39.0,7.0,1.0
2024-04-24,HED40147,Ardbeg 5 Year Old Wee Beastie,https://hedonism.co.uk/product/ardbeg-5-year-old-wee-beastie-whisky,39.0,4.0,1.0
2024-04-24,HED10534,Johnnie Walker Double Black,https://hedonism.co.uk/product/johnnie-walker-double-black-whisky,37.5,15.0,1.0
